player_id,Rank,Name,Team,Position,Tier,Expert Rank
9221,1,Jahmyr Gibbs,DET,RB,S,1.13
9509,2,Bijan Robinson,ATL,RB,S,1.88
7564,3,Ja'Marr Chase,CIN,WR,S,3.13
9493,4,Puka Nacua,LAR,WR,A,5.00
7547,5,Amon-Ra St. Brown,DET,WR,A,5.63
9488,6,Jaxon Smith-Njigba,SEA,WR,A,6.00
4034,7,Christian McCaffrey,SF,RB,A,6.63
6813,8,Jonathan Taylor,IND,RB,A,9.25
8151,9,Kenneth Walker,KC,RB,B,10.63
6794,10,Justin Jefferson,MIN,WR,B,10.75
8138,11,James Cook,BUF,RB,B,11.00
6786,12,CeeDee Lamb,DAL,WR,B,11.13
12527,13,Ashton Jeanty,LV,RB,B,12.00
9224,14,Chase Brown,CIN,RB,B,12.25
3198,15,Derrick Henry,BAL,RB,B,15.75
4866,16,Saquon Barkley,PHI,RB,B,16.38
12507,17,Omarion Hampton,LAC,RB,C,17.13
9226,18,Devon Achane,MIA,RB,C,18.63
11632,19,Malik Nabers,NYG,WR,C,19.00
8144,20,Chris Olave,NO,WR,C,20.25
7569,21,Nico Collins,HOU,WR,C,23.13
8112,22,Drake London,ATL,WR,C,23.88
8137,23,George Pickens,DAL,WR,C,24.38
8130,24,Trey McBride,ARI,TE,C,24.63
13242,25,Jeremiyah Love,ARI,RB,C,26.63
8155,26,Breece Hall,NYJ,RB,D,27.38
9997,27,Zay Flowers,BAL,WR,D,27.75
11604,28,Brock Bowers,LV,TE,D,27.88
10229,29,Rashee Rice,KC,WR,D,29.13
4984,30,Josh Allen,BUF,QB,D,29.38
7588,31,Javonte Williams,DAL,RB,D,29.88
7525,32,DeVonta Smith,PHI,WR,D,32.63
11635,33,Ladd McConkey,LAC,WR,D,32.63
8150,34,Kyren Williams,LAR,RB,D,33.50
6801,35,Tee Higgins,CIN,WR,D,36.13
6790,36,D'Andre Swift,CHI,RB,E,36.38
11584,37,Bucky Irving,TB,RB,E,36.50
